Anyo,Mes,Dia,Ventas,Prediccion
2014,2,15,2039,2093.182635083547
2014,2,19,1490,1701.2675569623482
2014,2,28,2064,1738.9867400846956
2014,4,16,2226,1724.1012367516623
2014,4,23,1643,1691.936025578821
2014,4,28,1673,1727.14178842005
2014,6,5,1442,1682.0681658290036
2014,6,8,1605,1854.1274507107848
2014,6,9,1304,1668.3042182154725
2014,6,16,1325,1724.1012367516623
2014,6,17,1575,1724.1012367516623
2014,6,25,1807,1691.936025578821
2014,6,29,1675,1843.6894485889475
2014,7,8,1574,1852.8850008619472
2014,7,10,1889,1792.307967598914
2014,7,14,1907,1896.1934219738766
2014,7,15,1666,1896.1934219738766
2014,7,18,2353,1896.1934219738766
2014,11,10,1252,1798.5804274870086
2014,11,15,2217,2088.780287596391
2014,11,17,1075,1773.9965157426634
2014,11,23,1564,1824.1191727586477
2014,11,27,1393,1747.8967359047597
2014,11,29,2562,2324.4748382466146
2014,11,30,1440,1823.5257821348666
2014,12,1,1124,1777.55437918282
2014,12,8,2393,2204.6567201869448
2014,12,23,2667,2220.070304855387
2014,12,24,1223,1476.5188460442346
2014,12,28,3274,2868.2347899282486
2015,1,3,2908,3134.9640087954035
2015,1,6,1533,2373.0123802406033
2015,1,11,1958,2499.1514332431984
2015,1,19,867,1730.9671903954738
2015,1,28,1401,1812.9280711629322
2015,1,31,2266,2926.4493139371707
2015,2,3,1255,1890.4804546674895
2015,2,4,1202,1854.3286425645651
2015,2,9,1140,1860.3626573320266
2015,2,11,1352,1888.523816930379
2015,2,16,1162,1933.7434543962265
2015,2,20,1840,1928.7791820254747
2015,2,24,1332,1907.6436745583228
2015,2,28,2832,2742.831491545634
2015,3,5,1839,2099.298821809431
2015,3,9,1693,2095.156999021145
2015,3,11,2013,2095.156999021145
2015,3,14,5623,3128.051478096879
2015,3,16,4586,2321.438607313847
2015,3,18,5780,2331.825558183933
2015,3,21,2460,3101.951698258975
2015,3,23,1306,2316.474334943095
2015,3,25,1686,2316.474334943095
2015,4,12,2156,2587.8890791509493
2015,4,18,2692,2797.7146182192173
2015,4,21,1817,2035.4377404887734
2015,4,23,1965,2035.4377404887734
2015,4,25,2523,2765.5494070463756
2015,4,26,1977,2555.7238679781076
2015,4,27,1730,2035.4377404887734
2015,4,30,2391,2126.2745918708024
2015,5,2,2821,2025.5698807389572
2015,5,3,2043,2545.8560082282916
2015,5,13,1704,2115.691387500388
2015,5,15,2426,2067.602951661615
2015,5,17,1963,2635.9775149897223
2015,5,18,1633,2115.691387500388
2015,5,22,2255,2035.4377404887734
2015,5,28,1701,2082.223403072811
2015,6,5,2158,2073.65831657773
2015,6,9,1831,2072.3829663884594
2015,6,14,2245,2587.8890791509493
2015,6,19,2107,2109.62595616545
2015,6,23,2033,2083.526176327546
2015,6,25,2180,2083.526176327546
2015,7,2,2298,2378.930280094021
2015,7,6,1981,2378.930280094021
2015,7,7,2041,2378.930280094021
2015,7,10,2897,2377.65492990475
2015,7,14,2326,2420.9633510166786
2015,7,20,2693,2388.798139843837
2015,7,22,2893,2388.798139843837
2015,7,29,2806,2452.1964060132286
2015,8,3,2858,2427.9391226684475
2015,8,4,2877,2427.9391226684475
2015,8,10,2870,2426.6637724791767
2015,8,17,2931,2420.9633510166786
2015,8,18,2980,2420.9633510166786
2015,8,20,3033,2388.798139843837
2015,8,22,2881,2989.339070664207
2015,8,29,2604,2964.5995912878034
2015,9,2,2628,2200.862778831727
2015,9,14,1797,2135.6003393409746
2015,9,18,2746,2135.6003393409746
2015,9,19,3010,2747.067388307586
2015,9,20,2366,2511.1420694014137
2015,9,25,2706,2090.9465307438727
2015,9,26,3327,2694.9676480456997
2015,10,3,3454,2770.306823294503
2015,10,12,2678,2543.3072805742554
2015,10,14,1742,2135.6003393409746
2015,10,15,1682,2135.6003393409746
2015,10,21,1812,2103.435128168133
2015,10,22,1851,2103.435128168133
2015,10,26,1542,2103.435128168133
2015,11,9,1647,2151.4989928036834
2015,11,12,1471,2135.6003393409746
2015,11,16,1425,2135.6003393409746
2015,11,18,1689,2135.6003393409746
