Id_heladeria,Des_Heladeria,Comunidad_Autonoma,Consumo_In_Situ,Productos_Premium,HorasAbierto,Fecha,Anyo,Mes,Dia,Tipo,Temperatura,Ventas
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,11,30,1,8.3,636
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,1,2,11.8,522
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,2,0,8.9,478
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,3,0,12.4,393
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,4,0,13.5,402
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,5,0,13.2,673
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,6,3,13.1,1251
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,7,1,11.7,1078
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,8,3,10.7,1095
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,9,0,0,417
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,10,0,10.6,472
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,11,0,10.2,396
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,12,0,9.9,292
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,13,0,8.5,480
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,14,1,12.1,680
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,15,2,12.8,751
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,16,0,13.8,288
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,17,0,9.2,405
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,18,0,9.2,473
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,19,0,9.1,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,20,0,8.9,613
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,21,1,8.4,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,22,2,9.3,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,23,0,10.1,608
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,24,0,10.8,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,25,3,9.7,668
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,26,0,9.7,780
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,27,0,11.7,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,28,1,9.9,995
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,29,2,8.5,0
3409,PLAYA POSTIGUET,Comunidad Valenciana,0,0,17,00:00.0,2013,12,30,0,7.1,0
